Name,Age,Nationality,Club
Sérgio Oliveira,26,Portugal,FC Porto
D. Caligiuri,30,Italy,FC Schalke 04
C. Wilson,26,England,Bournemouth
P. Jones,26,England,Manchester United
Borja García,27,Spain,Girona FC
Y. Belhanda,28,Morocco,Galatasaray SK
G. Pezzella,27,Argentina,Fiorentina
Jaume Costa,30,Spain,Villarreal CF
C. Tosun,27,Turkey,Everton
Escudero,28,Spain,Sevilla FC
Kike García,28,Spain,SD Eibar
Elkeson,28,Brazil,Shanghai SIPG FC
Ricardo Goulart,27,Brazil,Guangzhou Evergrande Taobao FC
J. Guðmundsson,27,Iceland,Burnley
N. Clyne,27,England,Liverpool
M. Hitz,30,Switzerland,Borussia Dortmund
De Marcos,29,Spain,Athletic Club de Bilbao
B. Mee,28,England,Burnley
Rafael,27,Brazil,Olympique Lyonnais
Iborra,30,Spain,Leicester City
J. Wilshere,26,England,West Ham United
B. Hübner,28,Germany,TSG 1899 Hoffenheim
Souza,29,Brazil,Al Ahli
F. Coquelin,27,France,Valencia CF
Alex Teixeira,28,Brazil,Jiangsu Suning FC
A. Dzagoev,28,Russia,PFC CSKA Moscow
I. Smolnikov,29,Russia,
Y. M'Vila,28,France,AS Saint-Étienne
K. Asamoah,29,Ghana,Inter
R. Zieler,29,Germany,VfB Stuttgart
D. Drinkwater,28,England,Chelsea
N. Kalinić,30,Croatia,Atlético Madrid
Mariano,32,Brazil,Galatasaray SK
S. Feghouli,28,Algeria,Galatasaray SK
Adrien Silva,29,Portugal,Leicester City
Fernando,30,Brazil,Galatasaray SK
I. Traoré,30,Guinea,Borussia Mönchengladbach
G. Mercado,31,Argentina,Sevilla FC
N. Petersen,29,Germany,SC Freiburg
O. Karnezis,32,Greece,Napoli
M. Sakho,28,France,Crystal Palace
Sidnei,28,Brazil,Real Betis
S. Jovetić,28,Montenegro,AS Monaco
Eder,31,Italy,Jiangsu Suning FC
J. Hernández,30,Mexico,West Ham United
Fabricio,30,Spain,Fulham
Kiko Casilla,31,Spain,Real Madrid
Ángel,31,Spain,Getafe CF
M. Schneiderlin,28,France,Everton
M. Fellaini,30,Belgium,Manchester United
P. Wernbloom,32,Sweden,PAOK
D. Ospina,29,Colombia,Napoli
S. Mignolet,30,Belgium,Liverpool
A. Begović,31,Bosnia Herzegovina,Bournemouth
N. Şahin,29,Turkey,SV Werder Bremen
R. Bertrand,28,England,Southampton
A. Masiello,32,Italy,Atalanta
T. Walcott,29,England,Everton
Charles,34,Brazil,SD Eibar
T. Heaton,32,England,Burnley
H. Ben Arfa,31,France,Stade Rennais FC
D. Abraham,31,Argentina,Eintracht Frankfurt
E. Lavezzi,33,Argentina,Hebei China Fortune FC
S. Kalou,32,Ivory Coast,Hertha BSC
J. Farfán,33,Peru,Lokomotiv Moscow
R. Babel,31,Netherlands,Beşiktaş JK
A. Young,32,England,Manchester United
J. Hart,31,England,Burnley
L. López,35,Argentina,Racing Club
D. Baier,34,Germany,FC Augsburg
B. Yılmaz,32,Turkey,Trabzonspor
R. Adler,33,Germany,1. FSV Mainz 05
S. Lichtsteiner,34,Switzerland,Arsenal
E. Adebayor,34,Togo,Medipol Başakşehir FK
E. Belözoğlu,37,Turkey,Medipol Başakşehir FK
Loren,24,Spain,Real Betis
Éder Militão,20,Brazil,FC Porto
F. Chiesa,20,Italy,Fiorentina
M. Lazzari,24,Italy,SPAL
A. Hakimi,19,Morocco,Borussia Dortmund
S. Nakajima,23,Japan,Portimonense SC
L. Jović,20,Serbia,Eintracht Frankfurt
S. Ascacíbar,21,Argentina,VfB Stuttgart
A. Lafont,19,France,Fiorentina
T. Alexander-Arnold,19,England,Liverpool
F. Krovinović,22,Croatia,SL Benfica
Sidney Pessinho,26,Brazil,Internacional
Everticinho,30,Brazil,Grêmio
Claudio Coíntra,34,Brazil,Internacional
Ronaldo Esler,30,Brazil,Atlético Mineiro
P. Lees-Melou,25,France,OGC Nice
B. Chilwell,21,England,Leicester City
João Novais,24,Portugal,SC Braga
D. Calabria,21,Italy,Milan
F. Mendy,23,France,Olympique Lyonnais
L. Pellegrini,22,Italy,Roma
Soares,27,Brazil,FC Porto
Daniel Podence,22,Portugal,Olympiacos CFP
M. Díaz,32,Argentina,Club Atlético Huracán
G. Martínez,25,Argentina,River Plate
M. Eggestein,21,Germany,SV Werder Bremen
Trezeguet,23,Egypt,Kasimpaşa SK
N. Amiri,21,Germany,TSG 1899 Hoffenheim
Vallejo,21,Spain,Real Madrid
J. Gomez,21,England,Liverpool
Diogo Jota,21,Portugal,Wolverhampton Wanderers
Joan Jordán,23,Spain,SD Eibar
Dyego Sousa,28,Brazil,SC Braga
A. Marušić,25,Montenegro,Lazio
David Soria,25,Spain,Getafe CF
V. Rongier,23,France,FC Nantes
W. Weghorst,25,Netherlands,VfL Wolfsburg
O. Al Soma,29,Syria,Al Ahli
M. Nakamba,24,Zimbabwe,Club Brugge KV
Petros,29,Brazil,Al Nassr
Pablo Maffeo,20,Spain,VfB Stuttgart
Y. Mina,23,Colombia,Everton
M. Dúbravka,29,Slovakia,Newcastle United
Diego Carlos,25,Brazil,FC Nantes
D. Djené,26,Togo,Getafe CF
G. Simeone,22,Argentina,Fiorentina
M. Meza,25,Argentina,Independiente
Bastos,26,Angola,Lazio
S. Lobotka,23,Slovakia,RC Celta
Y. Tielemans,21,Belgium,AS Monaco
Marcelo Goiano,30,Brazil,SC Braga
K. Tete,22,Netherlands,Olympique Lyonnais
Capa,26,Spain,Athletic Club de Bilbao
M. Sportiello,26,Italy,Frosinone
Jemerson,25,Brazil,AS Monaco
N. Maksimović,26,Serbia,Napoli
D. Zapata,27,Colombia,Atalanta
J. Correa,23,Argentina,Lazio
E. Rigoni,25,Argentina,Atalanta
C. Izquierdoz,29,Argentina,Boca Juniors
W. Barrios,24,Colombia,Boca Juniors
J. Mojica,25,Colombia,Girona FC
A. Selikhov,24,Russia,Spartak Moscow
A. Iwobi,22,Nigeria,Arsenal
D. Laxalt,25,Uruguay,Milan
N. Bentaleb,23,Algeria,FC Schalke 04
N. Stark,23,Germany,Hertha BSC
M. Lemina,24,Gabon,Southampton
L. Dendoncker,23,Belgium,Wolverhampton Wanderers
Ricardo Esgaio,25,Portugal,SC Braga
P. Sisto,23,Denmark,RC Celta
P. Max,24,Germany,FC Augsburg
R. Gagliardini,24,Italy,Inter
Pere Pons,25,Spain,Girona FC
D. Berardi,23,Italy,Sassuolo
M. Halstenberg,26,Germany,RB Leipzig
J. Quintero,25,Colombia,River Plate
Tiago Volpi,27,Brazil,Querétaro
Óliver Torres,23,Spain,FC Porto
Omar Mascarell,25,Spain,FC Schalke 04
H. Sakai,28,Japan,Olympique de Marseille
Andreas Pereira,22,Brazil,Manchester United
A. Januzaj,23,Belgium,Real Sociedad
B. Cristante,23,Italy,Roma
Matheus,25,Brazil,SC Braga
B. Traoré,22,Burkina Faso,Olympique Lyonnais
Y. Poulsen,24,Denmark,RB Leipzig
L. Trossard,23,Belgium,KRC Genk
M. Arnold,24,Germany,VfL Wolfsburg
M. De Sciglio,25,Italy,Juventus
Leo Baptistao,25,Brazil,RCD Espanyol
V. Chiricheş,28,Romania,Napoli
L. Pavoletti,29,Italy,Cagliari
A. Cragno,24,Italy,Cagliari
L. Castro,29,Argentina,Cagliari
N. Füllkrug,25,Germany,Hannover 96
F. Fajr,29,Morocco,Stade Malherbe Caen
R. Jiménez,27,Mexico,Wolverhampton Wanderers
E. Sala,27,Argentina,FC Nantes
S. García,27,Uruguay,Godoy Cruz
S. Arias,26,Colombia,Atlético Madrid
B. Reynet,27,France,Toulouse Football Club
Pozuelo,26,Spain,KRC Genk
A. Trebel,27,France,RSC Anderlecht
J. Lascelles,24,England,Newcastle United
T. Kongolo,24,Netherlands,Huddersfield Town
A. Carrillo,27,Peru,Al Hilal
Álvaro,28,Spain,Villarreal CF
G. Defrel,27,France,Sampdoria
Fernando,26,Brazil,Spartak Moscow
V. Darida,27,Czech Republic,Hertha BSC
R. Saponara,26,Italy,Sampdoria
Pedro Mendes,27,Portugal,Montpellier HSC
C. Schindler,28,Germany,Huddersfield Town
N. Chadli,28,Belgium,AS Monaco
Arbilla,31,Spain,SD Eibar
L. Dunk,26,England,Brighton & Hove Albion
P. Hernández,31,Chile,Independiente
J. Guidetti,26,Sweden,Deportivo Alavés
Sergi Gómez,26,Spain,Sevilla FC
Oriol Romeu,26,Spain,Southampton
Lucas Pérez,29,Spain,West Ham United
B. Natcho,30,Israel,Olympiacos CFP
Cláudio Ramos,26,Portugal,CD Tondela
F. Lejeune,27,France,Newcastle United
G. Krychowiak,28,Poland,Lokomotiv Moscow
N. Lodeiro,29,Uruguay,Seattle Sounders FC
O. Özyakup,25,Turkey,Beşiktaş JK
C. Tévez,34,Argentina,Boca Juniors
K. Papadopoulos,26,Greece,Hamburger SV
M. Gradel,30,Ivory Coast,Toulouse Football Club
M. Debuchy,32,France,AS Saint-Étienne
V. Moses,27,Nigeria,Chelsea
Z. Junuzović,30,Austria,FC Red Bull Salzburg
Granero,30,Spain,RCD Espanyol
J. Baumgartlinger,30,Austria,Bayer 04 Leverkusen
Fábio Coentrão,30,Portugal,Rio Ave FC
B. Costil,30,France,FC Girondins de Bordeaux
Hilton,40,Brazil,Montpellier HSC
N. Gudelj,26,Serbia,Sporting CP
L. Pratto,30,Argentina,River Plate
E. Hernández,30,Mexico,Cruz Azul
Jurado,32,Spain,Al Ahli
R. Cabella,28,France,AS Saint-Étienne
Rafael Tolói,27,Brazil,Atalanta
C. Bravo,35,Chile,Manchester City
Hernanes,33,Brazil,Hebei China Fortune FC
K. Honda,32,Japan,Melbourne Victory
A. Dzyuba,29,Russia,
J. Holebas,34,Greece,Watford
Javi García,31,Spain,Real Betis
Sergio,31,Spain,RC Celta
M. Cáceres,31,Uruguay,Lazio
Daniel Carriço,29,Portugal,Sevilla FC
J. Cork,29,England,Burnley
J. Tomkins,29,England,Crystal Palace
Guilherme,32,Russia,Lokomotiv Moscow
Gervinho,31,Ivory Coast,Parma
J. Shelvey,26,England,Newcastle United
R. Eremenko,31,Finland,Spartak Moscow
R. Vormer,30,Netherlands,Club Brugge KV
J. Lens,30,Netherlands,Beşiktaş JK
Adriano,33,Brazil,Beşiktaş JK
S. Cook,27,England,Bournemouth
L. Podolski,33,Germany,Vissel Kobe
C. Ansaldi,31,Argentina,Torino
Manu García,32,Spain,Deportivo Alavés
R. Alessandrini,29,France,LA Galaxy
J. Ward-Prowse,23,England,Southampton
M. Harnik,31,Austria,SV Werder Bremen
B. Moukandjo,29,Cameroon,Beijing Renhe FC
G. Pereiro,23,Uruguay,PSV
G. Castro,31,Germany,VfB Stuttgart
Aarón Martín,21,Spain,1. FSV Mainz 05
F. Johnson,30,United States,Borussia Mönchengladbach
L. López,28,Argentina,Genoa
M. Dossevi,30,Togo,Toulouse Football Club
Caiuby,29,Brazil,FC Augsburg
Gabriel,24,Brazil,SL Benfica
Iván Ramis,33,Spain,SD Eibar
M. Suchý,30,Czech Republic,FC Basel 1893
T. Vilhena,23,Netherlands,Feyenoord
E. Çolak,27,Turkey,Al Wehda
V. Germain,28,France,Olympique de Marseille
G. Hoarau,34,France,BSC Young Boys
Sergio García,35,Spain,RCD Espanyol
E. Choupo-Moting,29,Cameroon,Paris Saint-Germain
J. Pinola,35,Argentina,River Plate
J. Hendrix,23,Netherlands,PSV
J. Izquierdo,25,Colombia,Brighton & Hove Albion
S. Sydorchuk,27,Ukraine,Dynamo Kyiv
C. Grenier,27,France,Stade Rennais FC
T. Strobl,28,Germany,Borussia Mönchengladbach
V. Odjidja-Ofoe,29,Belgium,KAA Gent
N. Guzmán,32,Argentina,Tigres U.A.N.L.
F. Fabra,27,Colombia,Boca Juniors
J. Maddison,21,England,Leicester City
K. El Ahmadi,33,Morocco,Al Ittihad
M. Carcela-González,29,Morocco,Standard de Liège
M. Gabbiadini,26,Italy,Southampton
Gomes,37,Brazil,Watford
M. Ritchie,28,Scotland,Newcastle United
G. Bou,28,Argentina,Racing Club
Javi Fuego,34,Spain,Villarreal CF
E. Akbaba,25,Turkey,Galatasaray SK
J. Amavi,24,France,Olympique de Marseille
R. Malinovskyi,25,Ukraine,KRC Genk
D. Welbeck,27,England,Arsenal
G. Conti,23,Argentina,SL Benfica
Bruno,28,Spain,Getafe CF
Garry Rodrigues,27,Cape Verde,Galatasaray SK
A. Schwolow,26,Germany,SC Freiburg
L. Cook,21,England,Bournemouth
P. Pérez,32,Argentina,Boca Juniors
Gazzolisco,30,Brazil,Internacional
Jonatan Soriano,32,Spain,Beijing Sinobo Guoan FC
Rubén Peña,26,Spain,SD Eibar
Mikel San José,29,Spain,Athletic Club de Bilbao
P. Groß,27,Germany,Brighton & Hove Albion
L. Baines,33,England,Everton
A. Ogbonna,30,Italy,West Ham United
Juan Jesus,27,Brazil,Roma
J. Martínez,31,Colombia,Portimonense SC
N. Elvedi,21,Switzerland,Borussia Mönchengladbach
G. Moreno,32,Colombia,Shanghai Greenland Shenhua FC
J. Valdivia,34,Chile,Colo-Colo
A. Carroll,29,England,West Ham United
Luís Neto,30,Portugal,
A. Pyatov,34,Ukraine,Shakhtar Donetsk
T. Gutiérrez,33,Colombia,Junior FC
Álex Remiro,23,Spain,Athletic Club de Bilbao
Wilson Eduardo,27,Portugal,SC Braga
Jorge Meré,21,Spain,1. FC Köln
M. Elneny,25,Egypt,Arsenal
D. Torres,28,Colombia,Deportivo Alavés
Y. Bounou,27,Morocco,Girona FC
A. Prijović,28,Serbia,PAOK
A. Jahanbakhsh,24,Iran,Brighton & Hove Albion
J. Calleri,24,Argentina,Deportivo Alavés
Simão Acunha,30,Brazil,Atlético Mineiro
N. Müller,30,Germany,Eintracht Frankfurt
L. Ocampos,23,Argentina,Olympique de Marseille
J. Rodriguez,28,England,West Bromwich Albion
V. Ibišević,33,Bosnia Herzegovina,Hertha BSC
S. Rondón,28,Venezuela,Newcastle United
Victor Sánchez,30,Spain,RCD Espanyol
D. Suárez,30,Uruguay,Getafe CF
K. Huntelaar,34,Netherlands,Ajax
L. Dubois,23,France,Olympique Lyonnais
André Pinto,28,Portugal,Sporting CP
K. Lala,26,France,RC Strasbourg Alsace
O. Kıvrak,30,Turkey,Trabzonspor
A. Bertolacci,27,Italy,Milan
E. Giaccherini,33,Italy,Chievo Verona
A. Živković,21,Serbia,SL Benfica
R. Ábila,28,Argentina,Boca Juniors
P. Diop,32,Senegal,SD Eibar
D. Garmash,28,Ukraine,Dynamo Kyiv
T. Chandler,28,United States,Eintracht Frankfurt
R. Klavan,32,Estonia,Cagliari
A. Miranchuk,22,Russia,Lokomotiv Moscow
D. Da Silva,30,France,Stade Rennais FC
D. Benaglio,34,Switzerland,AS Monaco
T. Rincón,30,Venezuela,Torino
M. Pereira,34,Uruguay,FC Porto
C. Borges,30,Costa Rica,Göztepe SK
J. Sand,37,Argentina,Deportivo Cali
Markel Bergara,32,Spain,Getafe CF
Vágner Love,34,Brazil,Beşiktaş JK
B. Bourigeaud,24,France,Stade Rennais FC
R. Soriano,27,Italy,Torino
D. Kuzyaev,25,Russia,
R. Sambueza,34,Argentina,Deportivo Toluca
Montoya,27,Spain,Brighton & Hove Albion
A. Poli,28,Italy,Bologna
C. Austin,28,England,Southampton
L. Tonelli,28,Italy,Sampdoria
M. Zárate,31,Argentina,Boca Juniors
J. Sancho,18,England,Borussia Dortmund
D. Basta,33,Serbia,Lazio
Marçal,29,Brazil,Olympique Lyonnais
Munir,22,Spain,FC Barcelona
G. Sio,29,Ivory Coast,
J. McCarthy,27,Republic of Ireland,Everton
J. Aquino,28,Mexico,Tigres U.A.N.L.
H. Pérez,29,Paraguay,RCD Espanyol
Jô,31,Brazil,Nagoya Grampus
R. Gurtner,31,France,Amiens SC
C. Sánchez,32,Colombia,West Ham United
M. Sissoko,28,France,Tottenham Hotspur
W. Anton,21,Germany,Hannover 96
E. Skhiri,23,Tunisia,Montpellier HSC
Rúben Vezo,24,Portugal,Valencia CF
Jorge Molina,36,Spain,Getafe CF
M. Hasebe,34,Japan,Eintracht Frankfurt
A. Schürrle,27,Germany,Fulham
O. Ighalo,29,Nigeria,Changchun Yatai FC
L. Acosta,30,Argentina,Club Atlético Lanús
V. Babacan,29,Turkey,Medipol Başakşehir FK
R. Aguilar,25,France,Montpellier HSC
Yeray,23,Spain,Athletic Club de Bilbao
J. Defoe,35,England,Bournemouth
L. Schøne,32,Denmark,Ajax
C. Ünder,20,Turkey,Roma
M. Dabbur,26,Israel,FC Red Bull Salzburg
Roberto,32,Spain,RCD Espanyol
Djaniny,27,Cape Verde,Al Ahli
Wallace,23,Brazil,Lazio
Pedro Obiang,26,Equatorial Guinea,West Ham United
D. Heintz,24,Germany,SC Freiburg
N. Mukiele,20,France,RB Leipzig
T. Vermaelen,32,Belgium,FC Barcelona
I. Abate,31,Italy,Milan
Diego Llorente,24,Spain,Real Sociedad
C. Wood,26,New Zealand,Burnley
Formosandrinho,26,Brazil,Botafogo
E. Pulgar,24,Chile,Bologna
V. Vasin,29,Russia,PFC CSKA Moscow
V. Grifo,25,Italy,TSG 1899 Hoffenheim
A. Turan,31,Turkey,Medipol Başakşehir FK
J. dos Santos,28,Mexico,LA Galaxy
D. Schwaab,29,Germany,PSV
M. Schmelzer,30,Germany,Borussia Dortmund
L. Spinazzola,25,Italy,Juventus
A. Dragović,27,Austria,Bayer 04 Leverkusen
D. Pröpper,26,Netherlands,Brighton & Hove Albion
R. Inglese,26,Italy,Parma
A. Marchesín,30,Argentina,Club América
R. De Paul,24,Argentina,Udinese
C. Gentner,32,Germany,VfB Stuttgart
G. Murray,34,England,Brighton & Hove Albion
Rafael Carioca,29,Brazil,Tigres U.A.N.L.
A. McCarthy,28,England,Southampton
L. Chichizola,28,Argentina,Getafe CF
D. Zakaria,21,Switzerland,Borussia Mönchengladbach
G. Dzhikiya,24,Russia,Spartak Moscow
N. Castillo,25,Chile,SL Benfica
D. Origi,23,Belgium,Liverpool
O. Yokuşlu,24,Turkey,RC Celta
D. Cheryshev,27,Russia,Valencia CF
D. Selke,23,Germany,Hertha BSC
Wendell,24,Brazil,Bayer 04 Leverkusen
M. Layún,30,Mexico,Villarreal CF
Y. Sabaly,25,Senegal,FC Girondins de Bordeaux
P. Cutrone,20,Italy,Milan
F. Marchetti,35,Italy,Genoa
W. Cyprien,23,France,OGC Nice
G. Paletta,32,Italy,Jiangsu Suning FC
F. Caicedo,29,Ecuador,Lazio
Jordi Masip,29,Spain,Real Valladolid CF
B. Espinosa,28,Colombia,Girona FC
M. Benassi,23,Italy,Fiorentina
P. Jagielka,35,England,Everton
J. Kucka,31,Slovakia,Trabzonspor
R. Brady,26,Republic of Ireland,Burnley
A. Szymanowski,29,Argentina,CD Leganés
W. Reid,29,New Zealand,West Ham United
Cédric,26,Portugal,Southampton
R. Civelli,34,Argentina,Club Atlético Banfield
R. Loftus-Cheek,22,England,Chelsea
S. De Maio,31,France,Bologna
S. Brown,33,Scotland,Celtic
A. Mitrović,23,Serbia,Fulham
P. Skjelbred,31,Norway,Hertha BSC
D. Cvitanich,34,Argentina,Club Atlético Banfield
K. Lasagna,25,Italy,Udinese
R. Palacio,36,Argentina,Bologna
M. Wolf,23,Germany,Borussia Dortmund
E. Gigliotti,31,Argentina,Independiente
N. Jørgensen,27,Denmark,Feyenoord
Laguardia,28,Spain,Deportivo Alavés
J. Lukaku,23,Belgium,Lazio
J. Augustin,21,France,RB Leipzig
M. Diakhaby,21,France,Valencia CF
Douglas,35,Brazil,Vitória Guimarães
N. Pejčinović,30,Serbia,Changchun Yatai FC
D. van de Beek,21,Netherlands,Ajax
Borja Iglesias,25,Spain,RCD Espanyol
G. Shibasaki,26,Japan,Getafe CF
W. Hughes,23,England,Watford
S. Boufal,24,Morocco,RC Celta
T. Kehrer,21,Germany,Paris Saint-Germain
M. Lang,27,Switzerland,Borussia Mönchengladbach
E. Gutiérrez,23,Mexico,PSV
D. Upamecano,19,France,RB Leipzig
Jefferson,29,Brazil,Sporting CP
W. Benítez,25,Argentina,OGC Nice
E. Bardhi,22,FYR Macedonia,Levante UD
K. Mbodji,28,Senegal,FC Nantes
B. Sarr,26,France,Olympique de Marseille
F. Ferreyra,27,Argentina,SL Benfica
Danilo,34,Brazil,Bologna
A. Ayew,28,Ghana,Fenerbahçe SK
K. Mitroglou,30,Greece,Olympique de Marseille
J. Villar,41,Paraguay,
P. Herrmann,27,Germany,Borussia Mönchengladbach
D. da Costa,24,Germany,Eintracht Frankfurt
V. Fischer,24,Denmark,FC København
Wesley,21,Brazil,Club Brugge KV
D. Ginczek,27,Germany,VfL Wolfsburg
F. Kostić,25,Serbia,Eintracht Frankfurt
R. Fraser,24,Scotland,Bournemouth
Cote,28,Spain,SD Eibar
H. Winks,22,England,Tottenham Hotspur
K. Mbabu,23,Switzerland,BSC Young Boys
M. Hinteregger,25,Austria,FC Augsburg
L. Acosta,24,Argentina,DC United
Sidcley,25,Brazil,Dynamo Kyiv
M. Jørgensen,28,Denmark,Huddersfield Town
M. Fabián,28,Mexico,Eintracht Frankfurt
Carlos Eduardo,28,Brazil,Al Hilal
Rubén Castro,37,Spain,UD Las Palmas
L. Augustinsson,24,Sweden,SV Werder Bremen
S. Aziz,27,Turkey,Galatasaray SK
G. Ochoa,32,Mexico,Standard de Liège
P. Hetemaj,31,Finland,Chievo Verona
André André,28,Portugal,Vitória Guimarães
Vinícius Júnior,17,Brazil,Real Madrid
B. Džemaili,32,Switzerland,Bologna
Juanpe,27,Spain,Girona FC
K. Fortounis,25,Greece,Olympiacos CFP
M. Vorm,34,Netherlands,Tottenham Hotspur
B. Oczipka,29,Germany,FC Schalke 04
R. Bentancur,21,Uruguay,Juventus
T. Hernández,20,France,Real Sociedad
M. Lowton,29,England,Burnley
I. Diop,21,France,West Ham United
B. André,27,France,Stade Rennais FC
C. Piccini,25,Italy,Valencia CF
Paulinho,25,Portugal,SC Braga
A. Diawara,20,Guinea,Napoli
Yuri Berchiche,28,Spain,Athletic Club de Bilbao
José Sá,25,Portugal,Olympiacos CFP
F. Kamano,22,Guinea,FC Girondins de Bordeaux
F. Cartabia,25,Argentina,Deportivo de La Coruña
E. Ünal,21,Turkey,Real Valladolid CF
I. Radovanović,29,Serbia,Chievo Verona
Renan Ribeiro,28,Brazil,Sporting CP
Jony,26,Spain,Deportivo Alavés
D. Buonanotte,30,Argentina,Universidad Católica
Tomás Pina,30,Spain,Deportivo Alavés
N. Pallois,30,France,FC Nantes
D. Latza,28,Germany,1. FSV Mainz 05
F. Belluschi,34,Argentina,San Lorenzo de Almagro
O. Abdulrahman,26,United Arab Emirates,Al Hilal
O. Trejo,30,Argentina,Rayo Vallecano
N. Barella,21,Italy,Cagliari
Angeliño,21,Spain,PSV
Vieirundinho,30,Brazil,Santos
F. Orellana,32,Chile,SD Eibar
F. Grillitsch,22,Austria,TSG 1899 Hoffenheim
C. Ortíz,29,Paraguay,Monterrey
Bruno Viana,23,Brazil,SC Braga
J. Maidana,32,Argentina,River Plate
R. Funes Mori,27,Argentina,Villarreal CF
D. Kohr,24,Germany,Bayer 04 Leverkusen
F. Higuaín,33,Argentina,Columbus Crew SC
A. Barák,23,Czech Republic,Udinese
F. Andone,25,Romania,Brighton & Hove Albion
Adrián,30,Spain,FC Porto
G. González,30,Costa Rica,Bologna
Otávio,24,Brazil,FC Girondins de Bordeaux
D. Janmaat,28,Netherlands,Watford
R. Funes Mori,27,Argentina,Monterrey
P. Schick,22,Czech Republic,Roma
Aleix Vidal,28,Spain,Sevilla FC
A. Schöpf,24,Austria,FC Schalke 04
W. Boly,27,France,Wolverhampton Wanderers
Alberto Moreno,25,Spain,Liverpool
C. Villanueva,32,Chile,Al Ittihad
M. Weiser,24,Germany,Bayer 04 Leverkusen
G. Escalante,25,Argentina,SD Eibar
M. Holgate,21,England,Everton
J. Hopf,31,Sweden,MKE Ankaragücü
D. Zurutuza,31,France,Real Sociedad
Juanmi,25,Spain,Real Sociedad
K. Gibbs,28,England,West Bromwich Albion
F. Fernández,29,Argentina,Newcastle United
L. Kalinić,28,Croatia,KAA Gent
N. Radoja,25,Serbia,RC Celta
N. Blandi,28,Argentina,San Lorenzo de Almagro
David Juncà,24,Spain,RC Celta
Wu Lei,26,China PR,Shanghai SIPG FC
Gabriel Boschilia,22,Brazil,FC Nantes
Iuri Medeiros,23,Portugal,Genoa
M. Phillips,27,Scotland,West Bromwich Albion
Iván Cuéllar,34,Spain,CD Leganés
J. Lössl,29,Denmark,Huddersfield Town
Mario Suárez,31,Spain,Guizhou Hengfeng FC
W. Bony,29,Ivory Coast,Swansea City
S. Doumbia,30,Ivory Coast,Girona FC
D. Reyes,25,Mexico,Fenerbahçe SK
Bernat,25,Spain,Paris Saint-Germain
V. Behrami,33,Switzerland,Udinese
S. Langkamp,30,Germany,SV Werder Bremen
J. Sosa,33,Argentina,Trabzonspor
A. Touré,24,France,FC Nantes
Jesé,25,Spain,Paris Saint-Germain
D. Ings,25,England,Southampton
M. Esser,30,Germany,Hannover 96
F. Acheampong,24,Ghana,Tianjin TEDA FC
R. Knoche,26,Germany,VfL Wolfsburg
O. Vlachodimos,24,Greece,SL Benfica
J. Denayer,23,Belgium,Olympique Lyonnais
S. Rode,27,Germany,Borussia Dortmund
Wendel,20,Brazil,Sporting CP
A. Nagy,23,Hungary,Bologna
Alfa Semedo,20,Guinea Bissau,SL Benfica
A. Barnes,28,Austria,Burnley
Alan Kardec,29,Brazil,Chongqing Dangdai Lifan FC SWM Team
Marcelo,28,Brazil,Sporting CP
E. Boateng,22,Ghana,Levante UD
Dalbert,24,Brazil,Inter
A. Halilović,22,Croatia,Milan
I. Popov,30,Bulgaria,Spartak Moscow
T. Cleverley,28,England,Watford
M. Livaja,24,Croatia,AEK Athens
M. Uribe,27,Colombia,Club América
P. Bargfrede,29,Germany,SV Werder Bremen
J. Jankto,22,Czech Republic,Sampdoria
Junior Firpo,21,Spain,Real Betis
D. D'Ambrosio,29,Italy,Inter
D. Boyko,30,Ukraine,Dynamo Kyiv
M. Díaz,31,Chile,Racing Club
S. Vokes,28,Wales,Burnley
Héldon,29,Cape Verde,Al Taawoun
Mario Hermoso,23,Spain,RCD Espanyol
F. Bartels,31,Germany,SV Werder Bremen
K. Malcuit,26,France,Napoli
R. Marin,22,Romania,Standard de Liège
Ayoze Pérez,24,Spain,Newcastle United
Júnior Moraes,31,Brazil,Shakhtar Donetsk
V. Berisha,25,Kosovo,Lazio
R. Freuler,26,Switzerland,Atalanta
Ganso,28,Brazil,Amiens SC
Vicente Gómez,29,Spain,Deportivo de La Coruña
M. Pašalić,23,Croatia,Atalanta
Vitor Hugo,27,Brazil,Fiorentina
B. Fornaroli,30,Uruguay,Melbourne City FC
R. Snodgrass,30,Scotland,West Ham United
Francisco Geraldes,23,Portugal,Eintracht Frankfurt
I. Ordets,25,Ukraine,Shakhtar Donetsk
D. Santon,27,Italy,Roma
M. Niang,23,Senegal,Stade Rennais FC
O. Wendt,32,Sweden,Borussia Mönchengladbach
C. Riveros,35,Paraguay,
F. Benković,20,Croatia,Celtic
M. Torres,33,Colombia,Deportivo Cali
